performance_id,piece_id,composer,title,source,performance_audio,performance_MIDI,MIDI_score
26,337,Liszt,CPM_19_Hungarian_Rhapsodies_9_Carnival_in_Pest,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-liz_rhap09_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-liz_rhap09_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-liz_rhap09_ENSTDkCl.mid
27,333,Liszt,CPM_19_Hungarian_Rhapsodies_12,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-liz_rhap12_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-liz_rhap12_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-liz_rhap12_ENSTDkAm.mid
28,362,Mendelssohn,CPM_Songs_withoug_Words_Book_5_Opus_62_5_Venetian_Gondola_Song,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-mendel_op62_5_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-mendel_op62_5_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-mendel_op62_5_ENSTDkAm.mid
29,387,Mussorgsky,CPM_Pictures_at_an_Exhibition_Promenade_Gnomus,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-muss_1_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-muss_1_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-muss_1_ENSTDkAm.mid
30,365,Mozart,CPM_Sonata_No.8_D_major_KV_311_1,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_311_1_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_311_1_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_311_1_ENSTDkCl.mid
31,372,Mozart,CPM_Sonata_No.11_A_major_KV_331_2,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_331_2_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_331_2_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_331_2_ENSTDkCl.mid
32,373,Mozart,CPM_Sonata_No.11_A_major_KV_331_3_Alla_Turca,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_331_3_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_331_3_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_331_3_ENSTDkCl.mid
33,375,Mozart,CPM_Sonata_No.12_F_major_KV_332_2,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_332_2_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_332_2_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_332_2_ENSTDkCl.mid
34,378,Mozart,CPM_Sonata_No.13_Bb_major_KV_333_2,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_333_2_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_333_2_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_333_2_ENSTDkCl.mid
35,379,Mozart,CPM_Sonata_No.13_Bb_major_KV_333_3,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_333_3_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_333_3_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_333_3_ENSTDkCl.mid
36,382,Mozart,CPM_Sonata_No.16_C_major_Sonata_facile_KV_545_3,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_545_3_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_545_3_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_545_3_ENSTDkCl.mid
37,383,Mozart,CPM_Sonata_No.17_Bb_major_KV_570_1,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_570_1_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-mz_570_1_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-mz_570_1_ENSTDkCl.mid
38,136,Beethoven,CPM_Sonata_No.8_C_minor_Opus_13_1,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-pathetique_1_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-pathetique_1_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-pathetique_1_ENSTDkCl.mid
39,137,Beethoven,CPM_Sonata_No.8_C_minor_Opus_13_2,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-pathetique_2_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-pathetique_2_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-pathetique_2_ENSTDkAm.mid
40,138,Beethoven,CPM_Sonata_No.8_C_minor_Opus_13_3,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-pathetique_3_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-pathetique_3_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-pathetique_3_ENSTDkAm.mid
41,449,Schubert,CPM_Fantasia_C_major_Wanderer_D_760_Opus_15_3,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-schub_d760_3_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-schub_d760_3_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-schub_d760_3_ENSTDkAm.mid
42,418,Schubert,CPM_4_Impromptus_D_899_Opus_90_1,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-schuim-1_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-schuim-1_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-schuim-1_ENSTDkCl.mid
43,426,Schubert,CPM_6_Moments_musicaux_D_780_Opus_94_1,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-schumm-1_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-schumm-1_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-schumm-1_ENSTDkAm.mid
44,436,Schubert,CPM_Piano_Sonata_in_A_minor_D_784_Opus_143_1,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-schu_143_1_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-schu_143_1_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-schu_143_1_ENSTDkAm.mid
45,438,Schubert,CPM_Piano_Sonata_in_A_minor_D_784_Opus_143_3,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-schu_143_3_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-schu_143_3_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-schu_143_3_ENSTDkCl.mid
46,463,Schumann,CPM_Scenes_From_Childhood_Opus_15_11_Hobgoblin,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn15_11_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn15_11_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-scn15_11_ENSTDkAm.mid
47,463,Schumann,CPM_Scenes_From_Childhood_Opus_15_11_Hobgoblin,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn15_11_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn15_11_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-scn15_11_ENSTDkCl.mid
48,464,Schumann,CPM_Scenes_From_Childhood_Opus_15_12_In_Slumberland,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn15_12_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn15_12_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-scn15_12_ENSTDkCl.mid
49,458,Schumann,CPM_Scenes_From_Childhood_Opus_15_6_Great_Adventure,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn15_6_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn15_6_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-scn15_6_ENSTDkAm.mid
50,461,Schumann,CPM_Scenes_From_Childhood_Opus_15_9_On_the_Rocking_Horse,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn15_9_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn15_9_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-scn15_9_ENSTDkAm.mid
51,468,Schumann,CPM_Kreisleriana_Opus_16_3,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn16_3_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn16_3_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-scn16_3_ENSTDkCl.mid
52,469,Schumann,CPM_Kreisleriana_Opus_16_4,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn16_4_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-scn16_4_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-scn16_4_ENSTDkAm.mid
53,469,Schumann,CPM_Kreisleriana_Opus_16_4,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn16_4_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-scn16_4_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-scn16_4_ENSTDkCl.mid
54,483,Tchaikovsky,CPM_The_Seasons_Opus_37a_3_March_Song_of_the_Lark,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-ty_maerz_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-ty_maerz_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-ty_maerz_ENSTDkAm.mid
55,483,Tchaikovsky,CPM_The_Seasons_Opus_37a_3_March_Song_of_the_Lark,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-ty_maerz_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-ty_maerz_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-ty_maerz_ENSTDkCl.mid
56,485,Tchaikovsky,CPM_The_Seasons_Opus_37a_5_May_Starlight_Nights,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-ty_mai_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-ty_mai_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-ty_mai_ENSTDkAm.mid
57,485,Tchaikovsky,CPM_The_Seasons_Opus_37a_5_May_Starlight_Nights,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-ty_mai_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-ty_mai_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-ty_mai_ENSTDkCl.mid
58,491,Tchaikovsky,CPM_The_Seasons_Opus_37a_11_November_Troika_Ride,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-ty_november_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-ty_november_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-ty_november_ENSTDkAm.mid
59,100,Beethoven,CPM_Sonata_No.21_C_major_Waldstein_Opus_53_1,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-waldstein_1_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-waldstein_1_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-waldstein_1_ENSTDkAm.mid
