performance_id,piece_id,composer,title,source,performance_audio,performance_MIDI,MIDI_score,split
S_19,45,Bach,CPM_The_Well-Tempered_Clavier_Part1_BWV_846,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-bach_846_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-bach_846_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-bach_846_AkPnBcht.mid,testing
S_20,45,Bach,CPM_The_Well-Tempered_Clavier_Part1_BWV_846,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-bach_846_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-bach_846_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-bach_846_SptkBGAm.mid,testing
S_21,46,Bach,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-bach_847_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-bach_847_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-bach_847_AkPnBcht.mid,training
S_22,46,Bach,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bach_847_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bach_847_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-bach_847_AkPnStgb.mid,training
S_23,46,Bach,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-bach_847_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-bach_847_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-bach_847_SptkBGCl.mid,training
S_24,48,Bach,CPM_The_Well-Tempered_Clavier_Part1_BWV_850,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-bach_850_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-bach_850_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-bach_850_AkPnBsdf.mid,training
S_25,497,Christmas,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-bk_xmas1_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-bk_xmas1_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-bk_xmas1_AkPnBsdf.mid,testing
S_26,497,Christmas,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bk_xmas1_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bk_xmas1_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-bk_xmas1_AkPnStgb.mid,testing
S_27,497,Christmas,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bk_xmas1_StbgTGd2.wav,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bk_xmas1_StbgTGd2.mid,{A_MAPS}\MAPS_MUS-bk_xmas1_StbgTGd2.mid,testing
S_28,494,Christmas,CPM_Ferd.Keller_Christmas_Fantasia,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bk_xmas2_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bk_xmas2_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-bk_xmas2_AkPnStgb.mid,training
S_29,494,Christmas,CPM_Ferd.Keller_Christmas_Fantasia,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-bk_xmas2_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-bk_xmas2_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-bk_xmas2_SptkBGCl.mid,training
S_30,496,Christmas,CPM_RobertLeonard_Christmas_Fantasia_Opus_99,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bk_xmas3_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bk_xmas3_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-bk_xmas3_AkPnStgb.mid,training
S_31,493,Christmas,CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-bk_xmas4_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-bk_xmas4_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-bk_xmas4_SptkBGCl.mid,testing
S_32,493,Christmas,CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,MAPS,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bk_xmas4_StbgTGd2.wav,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bk_xmas4_StbgTGd2.mid,{A_MAPS}\MAPS_MUS-bk_xmas4_StbgTGd2.mid,testing
S_33,495,Christmas,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-bk_xmas5_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-bk_xmas5_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-bk_xmas5_AkPnBcht.mid,testing
S_34,495,Christmas,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-bk_xmas5_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-bk_xmas5_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-bk_xmas5_AkPnCGdD.mid,testing
S_35,495,Christmas,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bk_xmas5_StbgTGd2.wav,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bk_xmas5_StbgTGd2.mid,{A_MAPS}\MAPS_MUS-bk_xmas5_StbgTGd2.mid,testing
S_36,143,Borodin,CPM_Petite_Suite_In_the_monastery,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-bor_ps1_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-bor_ps1_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-bor_ps1_AkPnCGdD.mid,training
S_37,144,Borodin,CPM_Petite_Suite_Intermezzo,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-bor_ps2_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-bor_ps2_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-bor_ps2_SptkBGAm.mid,training
S_38,147,Borodin,CPM_Petite_Suite_Reverie,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bor_ps5_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-bor_ps5_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-bor_ps5_AkPnStgb.mid,validation
S_39,148,Borodin,CPM_Petite_Suite_Serenade,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-bor_ps6_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-bor_ps6_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-bor_ps6_AkPnBsdf.mid,testing
S_40,148,Borodin,CPM_Petite_Suite_Serenade,MAPS,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bor_ps6_StbgTGd2.wav,{MAPS}\StbgTGd2\MUS\MAPS_MUS-bor_ps6_StbgTGd2.mid,{A_MAPS}\MAPS_MUS-bor_ps6_StbgTGd2.mid,testing
S_41,154,Brahms,CPM_7_Fantasia_Opus_116_2,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-br_im2_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-br_im2_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-br_im2_AkPnCGdD.mid,training
S_42,154,Brahms,CPM_7_Fantasia_Opus_116_2,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-br_im2_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-br_im2_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-br_im2_SptkBGAm.mid,training
S_43,155,Brahms,CPM_7_Fantasia_Opus_116_5,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-br_im5_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-br_im5_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-br_im5_AkPnBsdf.mid,training
S_44,155,Brahms,CPM_7_Fantasia_Opus_116_5,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-br_im5_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-br_im5_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-br_im5_AkPnCGdD.mid,training
S_45,155,Brahms,CPM_7_Fantasia_Opus_116_5,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-br_im5_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-br_im5_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-br_im5_SptkBGCl.mid,training
S_46,156,Brahms,CPM_7_Fantasia_Opus_116_6,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-br_im6_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-br_im6_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-br_im6_AkPnStgb.mid,training
S_47,161,Burgmueller,CPM_Etudes_Opus_109_The_pearis,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-burg_perlen_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-burg_perlen_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-burg_perlen_SptkBGCl.mid,training
S_48,162,Burgmueller,CPM_Etudes_Opus_109_The_Fountain,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-burg_quelle_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-burg_quelle_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-burg_quelle_SptkBGAm.mid,training
S_49,208,Chopin,CPM_Preludes_Opus_28_10,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-chpn-p10_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-chpn-p10_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-chpn-p10_AkPnStgb.mid,training
S_50,209,Chopin,CPM_Preludes_Opus_28_11,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p11_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p11_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn-p11_AkPnCGdD.mid,training
S_51,210,Chopin,CPM_Preludes_Opus_28_12,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p12_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p12_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p12_AkPnBcht.mid,training
S_52,211,Chopin,CPM_Preludes_Opus_28_13,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p13_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p13_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p13_AkPnBcht.mid,training
S_53,211,Chopin,CPM_Preludes_Opus_28_13,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p13_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p13_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn-p13_AkPnCGdD.mid,training
S_54,212,Chopin,CPM_Preludes_Opus_28_14,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p14_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p14_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p14_AkPnBcht.mid,testing
S_55,212,Chopin,CPM_Preludes_Opus_28_14,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p14_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p14_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn-p14_AkPnCGdD.mid,testing
S_56,213,Chopin,CPM_Preludes_Opus_28_15,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p15_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p15_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn-p15_AkPnCGdD.mid,testing
S_57,214,Chopin,CPM_Preludes_Opus_28_16,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-chpn-p16_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-chpn-p16_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-chpn-p16_AkPnStgb.mid,training
S_58,217,Chopin,CPM_Preludes_Opus_28_19,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p19_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p19_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-chpn-p19_AkPnBsdf.mid,testing
S_59,217,Chopin,CPM_Preludes_Opus_28_19,MAPS,{MAPS}\StbgTGd2\MUS\MAPS_MUS-chpn-p19_StbgTGd2.wav,{MAPS}\StbgTGd2\MUS\MAPS_MUS-chpn-p19_StbgTGd2.mid,{A_MAPS}\MAPS_MUS-chpn-p19_StbgTGd2.mid,testing
S_60,199,Chopin,CPM_Preludes_Opus_28_1,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p1_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p1_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p1_AkPnBcht.mid,training
S_61,199,Chopin,CPM_Preludes_Opus_28_1,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p1_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p1_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-chpn-p1_AkPnBsdf.mid,training
S_62,218,Chopin,CPM_Preludes_Opus_28_20,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p20_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p20_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn-p20_AkPnCGdD.mid,training
S_63,219,Chopin,CPM_Preludes_Opus_28_21,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p21_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p21_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-chpn-p21_AkPnBsdf.mid,training
S_64,222,Chopin,CPM_Preludes_Opus_28_24,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p24_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p24_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p24_AkPnBcht.mid,training
S_65,200,Chopin,CPM_Preludes_Opus_28_2,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-chpn-p2_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-chpn-p2_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-chpn-p2_SptkBGCl.mid,training
S_66,201,Chopin,CPM_Preludes_Opus_28_3,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p3_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p3_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p3_AkPnBcht.mid,validation
S_67,202,Chopin,CPM_Preludes_Opus_28_4,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p4_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p4_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p4_AkPnBcht.mid,testing
S_68,202,Chopin,CPM_Preludes_Opus_28_4,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p4_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p4_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-chpn-p4_AkPnBsdf.mid,testing
S_69,204,Chopin,CPM_Preludes_Opus_28_6,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-chpn-p6_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-chpn-p6_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-chpn-p6_SptkBGAm.mid,training
S_70,204,Chopin,CPM_Preludes_Opus_28_6,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-chpn-p6_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-chpn-p6_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-chpn-p6_SptkBGCl.mid,training
S_71,205,Chopin,CPM_Preludes_Opus_28_7,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p7_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn-p7_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn-p7_AkPnCGdD.mid,training
S_72,205,Chopin,CPM_Preludes_Opus_28_7,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-chpn-p7_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-chpn-p7_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-chpn-p7_SptkBGCl.mid,training
S_73,206,Chopin,CPM_Preludes_Opus_28_8,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p8_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn-p8_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn-p8_AkPnBcht.mid,validation
S_74,207,Chopin,CPM_Preludes_Opus_28_9,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p9_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-chpn-p9_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-chpn-p9_AkPnBsdf.mid,training
S_75,178,Chopin,CPM_Etudes_Opus_10_1,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn_op10_e01_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn_op10_e01_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn_op10_e01_AkPnCGdD.mid,training
S_76,184,Chopin,CPM_Etudes_Opus_10_5_Black_Key,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-chpn_op10_e05_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-chpn_op10_e05_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-chpn_op10_e05_SptkBGAm.mid,training
S_77,180,Chopin,CPM_Etudes_Opus_10_12_Revolutionary,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn_op10_e12_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn_op10_e12_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn_op10_e12_AkPnCGdD.mid,training
S_78,191,Chopin,CPM_Etudes_Opus_25_2,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn_op25_e2_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-chpn_op25_e2_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-chpn_op25_e2_AkPnBcht.mid,training
S_79,192,Chopin,CPM_Etudes_Opus_25_3,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-chpn_op25_e3_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-chpn_op25_e3_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-chpn_op25_e3_SptkBGAm.mid,testing
S_80,197,Chopin,CPM_2_Nocturnes_Opus_27_1,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn_op27_1_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-chpn_op27_1_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-chpn_op27_1_AkPnCGdD.mid,training
S_81,198,Chopin,CPM_2_Nocturnes_Opus_27_2,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-chpn_op27_2_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-chpn_op27_2_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-chpn_op27_2_AkPnStgb.mid,training
